	pv_measurement
3756	1027.2375
3757	889.2375
3758	727.95
3759	582.1875
3760	439.875
3761	90.5625
3762	105.225
3763	26.7375
3764	14.6625
3765	0.0
3766	0.0
3767	0.0
3768	0.0
3769	0.0
3770	0.8625
3771	5.175
3772	129.375
3773	154.3875
3774	100.9125
3775	615.825
3776	426.9375
3777	132.82500000000002
3778	56.0625
3779	87.975
3780	106.95
3781	82.8
3782	155.25
3783	153.525
3784	64.6875
3785	50.025
3786	27.6
3787	2.5875
3788	0.0
3789	0.0
3790	0.0
3791	0.0
3792	0.0
3793	0.8625
3794	24.15
3795	66.41250000000001
3796	194.0625
3797	213.0375
3798	280.3125
3799	382.0875
3800	581.325
3801	765.9
3802	757.275
3803	1016.8875
3804	1009.125
3805	934.0875
3806	780.5625
3807	611.5125
3808	450.225
3809	288.075
3810	78.4875
3811	18.1125
3812	0.0
3813	0.0
3814	0.0
3815	0.0
3816	0.0
3817	0.0
3818	0.0
3819	24.15
3820	72.45
3821	160.425
3822	539.9250000000001
3823	813.3375
3824	997.9125
3825	1041.8999999999999
3826	1070.3625
3827	628.7625
3828	580.4625
3829	647.7375
3830	492.4875
3831	207.8625
3832	75.0375
3833	20.7
3834	36.225
3835	14.6625
3836	0.0
3837	0.0
3838	0.0
3839	0.0
3840	0.0
3841	0.0
3842	0.8625
3843	12.9375
3844	50.8875
3845	105.225
3846	157.8375
3847	324.3
3848	219.075
3849	399.3375
3850	602.8875
3851	871.9875
3852	428.6625
3853	147.4875
3854	118.1625
3855	168.1875
3856	149.2125
3857	231.15
3858	75.9
3859	36.225
3860	2.5875
3861	0.0
3862	0.0
3863	0.0
3864	0.0
3865	1.725
3866	35.3625
3867	95.7375
3868	261.33750000000003
3869	275.1375
3870	614.9625
3871	807.3
3872	987.5625
3873	1014.3
3874	1091.0625
3875	1034.1375
3876	1097.1000000000001
3877	956.5125
3878	803.85
3879	635.6625
3880	471.7875
3881	315.675
3882	166.4625
3883	72.45
3884	17.25
3885	0.8625
3886	0.0
3887	0.0
3888	0.0
3889	7.7625
3890	44.85
3891	93.15
3892	200.1
3893	285.4875
3894	483.8625
3895	413.1375
3896	522.6750000000001
3897	410.55
3898	816.7875
3899	652.05
3900	572.7
3901	382.0875
3902	464.8875
3903	301.0125
3904	106.0875
3905	32.775
3906	4.3125
3907	0.0
3908	0.0
3909	0.0
3910	0.0
3911	0.0
3912	0.0
3913	0.0
3914	7.7625
3915	24.15
3916	61.2375
3917	33.637499999999996
3918	78.4875
3919	161.2875
3920	156.1125
3921	113.85
3922	305.325
3923	572.7
3924	779.7
3925	999.6375
3926	698.625
3927	659.8125
3928	475.2375
3929	298.425
3930	172.5
3931	72.45
3932	12.075
3933	0.0
3934	0.0
3935	0.0
3936	0.0
3937	0.8625
3938	27.6
3939	70.725
3940	228.5625
3941	233.7375
3942	370.0125
3943	537.3375
3944	564.9375
3945	745.2
3946	768.4875
3947	731.4
3948	667.575
3949	603.75
3950	604.6125
3951	501.975
3952	343.275
3953	219.9375
3954	111.2625
3955	63.825
3956	13.8
3957	0.0
3958	0.0
3959	0.0
3960	0.0
3961	0.8625
3962	27.6
3963	84.525
3964	157.8375
3965	333.7875
3966	603.75
3967	630.4875
3968	965.1375
3969	1038.45
3970	1046.2124999999999
3971	1031.55
3972	1009.9875
3973	898.725
3974	814.2
3975	564.9375
3976	522.6750000000001
3977	309.6375
3978	179.4
3979	75.0375
3980	13.8
3981	0.0
3982	0.0
3983	0.0
3984	0.0
3985	1.725
3986	28.4625
3987	94.0125
3988	233.7375
3989	276.0
3990	543.375
3991	769.35
3992	759.8625
3993	757.275
3994	1036.7250000000001
3995	984.975
3996	428.6625
3997	244.95
3998	370.0125
3999	207.8625
4000	81.075
4001	109.5375
4002	66.41250000000001
4003	9.4875
4004	0.8625
4005	0.0
4006	0.0
4007	0.0
4008	0.0
4009	0.0
4010	0.0
4011	10.35
4012	20.7
4013	41.4
4014	112.125
4015	254.4375
4016	288.075
4017	663.2625
4018	752.9625
4019	567.525
4020	919.425
4021	912.525
4022	810.75
4023	625.3125
4024	478.6875
4025	194.925
4026	62.9625
4027	55.2
4028	7.7625
4029	0.0
4030	0.0
4031	0.0
4032	0.0
4033	0.0
4034	33.637499999999996
4035	16.3875
4036	109.5375
4037	129.375
4038	431.25
4039	670.1625
4040	953.0625
4041	1010.85
4042	1095.375
4043	1120.3875
4044	594.2625
4045	478.6875
4046	744.3375
4047	578.7375
4048	427.8
4049	36.225
4050	25.0125
4051	19.8375
4052	0.8625
4053	0.0
4054	0.0
4055	0.0
4056	0.0
4057	2.5875
4058	31.9125
4059	113.85
4060	225.975
4061	367.425
4062	464.8875
4063	865.0875
4064	934.0875
4065	1069.5
4066	690.8625
4067	531.3000000000001
4068	667.575
4069	821.1
4070	686.55
4071	544.2375000000001
4072	360.525
4073	275.1375
4074	119.025
4075	57.7875
4076	12.075
4077	0.0
4078	0.0
4079	0.0
4080	0.0
4081	0.0
4082	7.7625
4083	25.875
4084	41.4
4085	192.3375
4086	294.975
4087	676.2
4088	935.8125
4089	1040.175
4090	843.525
4091	677.925
4092	751.2375
4093	771.075
4094	564.9375
4095	500.25
4096	151.8
4097	70.725
4098	49.1625
4099	18.1125
4100	5.175
4101	0.0
4102	0.0
4103	0.0
4104	0.0
4105	0.0
4106	6.0375
4107	23.2875
4108	101.775
4109	119.025
4110	108.675
4111	201.825
4112	238.9125
4113	209.5875
4114	202.6875
4115	188.8875
4116	428.6625
4117	219.075
4118	597.7125
4119	510.6
4120	216.4875
4121	125.0625
4122	70.725
4123	38.8125
4124	0.0
4125	0.0
4126	0.0
4127	0.0
4128	0.0
4129	0.0
4130	11.2125
4131	34.5
4132	118.1625
4133	165.6
4134	352.7625
4135	364.8375
4136	542.5124999999999
4137	357.9375
4138	447.6375
4139	544.2375000000001
4140	526.125
4141	754.6875
4142	521.8125
4143	691.725
4144	442.4625
4145	227.7
4146	78.4875
4147	25.875
4148	7.7625
4149	0.0
4150	0.0
4151	0.0
4152	0.0
4153	0.8625
4154	41.4
4155	108.675
4156	191.475
4157	256.16249999999997
4158	237.1875
4159	341.55
4160	578.7375
4161	534.75
4162	436.425
4163	257.02500000000003
4164	383.8125
4165	361.3875
4166	252.7125
4167	239.775
4168	252.7125
4169	166.4625
4170	85.3875
4171	43.9875
4172	16.3875
4173	0.8625
4174	0.0
4175	0.0
4176	0.0
4177	0.0
4178	0.8625
4179	15.525
4180	65.55
4181	152.6625
4182	404.5125
4183	501.1125
4184	776.25
4185	1054.8374999999999
4186	1100.55
4187	1099.6875
4188	992.7375
4189	897.8625
4190	578.7375
4191	628.7625
4192	386.4
4193	285.4875
4194	176.8125
4195	136.275
4196	32.775
4197	4.3125
4198	0.0
4199	0.0
4200	0.0
4201	12.075
4202	40.5375
4203	125.925
4204	155.25
4205	207.8625
4206	362.25
4207	445.9125
4208	658.0875
4209	607.2
4210	579.6
4211	363.1125
4212	241.5
4213	170.775
4214	165.6
4215	216.4875
4216	148.35
4217	128.51250000000002
4218	62.1
4219	31.05
4220	6.0375
4221	0.0
4222	0.0
4223	0.0
4224	0.0
4225	0.0
4226	18.1125
4227	110.4
4228	143.175
4229	375.1875
4230	427.8
4231	267.375
4232	441.6
4233	743.475
4234	669.3
4235	942.7125
4236	756.4125
4237	1053.9750000000001
4238	463.1625
4239	267.375
4240	159.5625
4241	81.075
4242	28.4625
4243	34.5
4244	15.525
4245	0.8625
4246	0.0
4247	0.0
4248	0.0
4249	0.0
4250	6.0375
4251	30.1875
4252	44.85
4253	51.75
4254	96.6
4255	119.025
4256	114.7125
4257	251.85
4258	322.575
4259	399.3375
4260	256.16249999999997
4261	231.15
4262	200.1
4263	133.6875
4264	185.4375
4265	131.9625
4266	120.75
4267	87.1125
4268	6.0375
4269	0.0
4270	0.0
4271	0.0
4272	0.0
4273	0.0
4274	2.5875
4275	40.5375
4276	72.45
4277	174.225
4278	156.975
4279	261.33750000000003
4280	341.55
4281	254.4375
4282	247.5375
4283	190.6125
4284	238.05
4285	142.3125
4286	104.3625
4287	246.675
4288	194.925
4289	51.75
4290	38.8125
4291	24.15
4292	0.0
4293	0.0
4294	0.0
4295	0.0
4296	0.0
4297	0.0
4298	13.8
4299	50.025
4300	62.9625
4301	145.7625
4302	216.4875
4303	255.3
4304	203.55
4305	375.1875
4306	390.7125
4307	263.0625
4308	205.275
4309	150.9375
4310	127.65
4311	94.0125
4312	34.5
4313	26.7375
4314	16.3875
4315	4.3125
4316	0.0
4317	0.0
4318	0.0
4319	0.0
4320	0.0
4321	0.0
4322	0.0
4323	7.7625
4324	37.95
4325	77.625
4326	135.4125
4327	87.975
4328	150.9375
4329	92.2875
4330	272.55
4331	206.1375
4332	105.225
4333	133.6875
4334	109.5375
4335	52.6125
4336	13.8
4337	73.3125
4338	149.2125
4339	32.775
4340	0.0
4341	0.0
4342	0.0
4343	0.0
4344	0.0
4345	0.0
4346	6.0375
4347	31.9125
4348	55.2
4349	85.3875
4350	146.625
4351	135.4125
4352	155.25
4353	253.575
4354	328.6125
4355	213.0375
4356	230.2875
4357	163.0125
4358	169.05
4359	133.6875
4360	73.3125
4361	111.2625
4362	69.8625
4363	36.225
4364	6.0375
4365	0.0
4366	0.0
4367	0.0
4368	0.0
4369	0.8625
4370	14.6625
4371	86.25
4372	143.175
4373	161.2875
4374	207.0
4375	374.325
4376	671.8875
4377	400.2
4378	681.375
4379	533.025
4380	919.425
4381	474.375
4382	516.6374999999999
4383	282.9
4384	151.8
4385	95.7375
4386	97.4625
4387	35.3625
4388	7.7625
4389	0.0
4390	0.0
4391	0.0
4392	0.0
4393	0.0
4394	5.175
4395	94.0125
4396	121.6125
4397	193.2
4398	329.475
4399	433.8375
4400	564.9375
4401	495.075
4402	494.2125
4403	451.0875
4404	359.6625
4405	296.7
4406	320.85
4407	271.6875
4408	201.825
4409	119.025
4410	55.2
4411	16.3875
4412	0.8625
4413	0.0
4414	0.0
4415	0.0
4416	0.0
4417	0.0
4418	0.0
4419	5.175
4420	32.775
4421	80.2125
4422	154.3875
4423	255.3
4424	449.3625
4425	415.725
4426	664.9875
4427	828.0
4428	531.3000000000001
4429	381.225
4430	201.825
4431	301.0125
4432	264.78749999999997
4433	56.0625
4434	102.6375
4435	42.2625
4436	7.7625
4437	0.0
4438	0.0
4439	0.0
4440	0.0
4441	0.0
4442	0.0
4443	6.9
4444	17.25
4445	81.075
4446	148.35
4447	96.6
4448	150.9375
4449	266.5125
4450	176.8125
4451	119.025
4452	106.95
4453	91.425
4454	130.23749999999998
4455	175.0875
4456	249.2625
4457	94.0125
4458	47.4375
4459	6.0375
4460	0.0
4461	0.0
4462	0.0
4463	0.0
4464	0.0
4465	7.7625
4466	50.8875
4467	113.85
4468	168.1875
4469	193.2
4470	275.1375
4471	281.175
4472	531.3000000000001
4473	550.275
4474	792.6375
4475	887.5125
4476	748.65
4477	218.2125
4478	637.3875
4479	475.2375
4480	263.925
4481	90.5625
4482	18.1125
4483	8.625
4484	0.0
4485	0.0
4486	0.0
4487	0.0
4488	0.0
4489	0.0
4490	4.3125
4491	22.425
4492	43.125
4493	71.5875
4494	123.3375
4495	399.3375
4496	740.8875
4497	863.3625
4498	797.8125
4499	649.4625
4500	583.05
4501	499.3875
4502	242.3625
4503	255.3
4504	224.25
4505	292.3875
4506	242.3625
4507	75.0375
4508	15.525
4509	0.0
4510	0.0
4511	0.0
4512	0.0
4513	0.0
4514	5.175
4515	18.975
4517	49.1625
4518	51.75
4519	76.7625
4520	161.2875
4521	160.425
4522	219.9375
4523	347.5875
4524	436.425
4525	273.41249999999997
4526	262.2
4527	278.5875
4528	225.975
4529	91.425
4530	64.6875
4531	24.15
4532	3.45
4533	0.0
4534	0.0
4535	0.0
4536	0.0
4537	0.0
4538	0.0
4539	14.6625
4540	39.675
4541	89.7
4542	151.8
4543	181.9875
4544	202.6875
4545	287.2125
4546	317.4
4547	345.0
4548	549.4125
4549	634.8
4550	788.325
4551	592.5375
4552	453.675
4553	288.075
4554	162.15
4555	69.0
4556	12.9375
4557	0.0
4558	0.0
4559	0.0
4560	0.0
4561	0.0
4562	1.725
4563	14.6625
4564	39.675
4565	61.2375
4566	129.375
4567	261.33750000000003
4568	639.1125
4569	1006.5375
4570	1047.075
4571	1053.9750000000001
4572	1014.3
4573	918.5625
4574	765.9
4575	589.0875
4576	452.8125
4577	282.9
4578	161.2875
4579	62.1
4580	11.2125
4581	0.0
4582	0.0
4583	0.0
4584	0.0
4585	0.0
4586	18.975
4587	68.1375
4588	97.4625
4589	146.625
4590	259.6125
4591	439.875
4592	828.8625
4593	982.3875
4594	1041.8999999999999
4595	1042.7625
4596	1004.8125
4597	896.1375
4598	757.275
4599	597.7125
4600	426.075
4601	281.175
4602	159.5625
4603	65.55
4604	9.4875
4605	0.0
4606	0.0
4607	0.0
4608	0.0
4609	0.0
4610	15.525
4611	62.1
4612	140.5875
4613	129.375
4614	263.0625
4615	514.0500000000001
4616	831.45
4617	985.8375
4618	1043.625
4619	1042.7625
4620	1005.675
4621	910.8
4622	756.4125
4623	611.5125
4624	444.1875
4625	273.41249999999997
4626	174.225
4627	76.7625
4628	12.075
4629	0.0
4630	0.0
4631	0.0
4632	0.0
4633	0.0
4634	6.0375
4635	35.3625
4636	64.6875
4637	87.1125
4638	164.7375
4639	233.7375
4640	263.0625
4641	250.125
4642	280.3125
4643	865.95
4644	991.0125
4645	671.025
4646	418.3125
4647	609.7875
4648	461.4375
4649	249.2625
4650	132.82500000000002
4651	66.41250000000001
4652	12.075
4653	0.0
4654	0.0
4655	0.0
4656	0.0
4657	0.0
4658	0.8625
4659	12.075
4660	37.95
4661	63.825
4662	100.9125
4663	203.55
4664	276.0
4665	302.7375
4666	495.9375
4667	455.4
4668	489.0375
4669	413.1375
4670	395.025
4671	313.0875
4672	135.4125
4673	68.1375
4674	32.775
4675	12.075
4676	0.0
4677	0.0
4678	0.0
4679	0.0
4680	0.0
4681	0.0
4682	0.0
4683	7.7625
4684	37.0875
4685	52.6125
4686	87.1125
4687	93.15
4688	127.65
4689	155.25
4690	169.05
4691	250.9875
4692	259.6125
4693	225.975
4694	166.4625
4695	148.35
4696	138.0
4697	120.75
4698	56.0625
4699	25.875
4700	4.3125
4701	0.0
4702	0.0
4703	0.0
4704	0.0
4705	0.0
4706	2.5875
4707	25.875
4708	69.8625
4709	149.2125
4710	156.975
4711	259.6125
4712	485.5875
4713	604.6125
4714	522.6750000000001
4715	533.8874999999999
4716	567.525
4717	392.4375
4718	272.55
4719	115.575
4720	145.7625
4721	144.9
4722	135.4125
4723	53.475
4724	6.0375
4725	0.0
4726	0.0
4727	0.0
4728	0.0
4729	0.0
4730	16.3875
4731	58.65
4732	160.425
4733	357.075
4734	361.3875
4735	665.85
4736	821.1
4737	1005.675
4738	998.775
4739	1047.075
4740	967.725
4741	907.35
4742	745.2
4743	577.875
4744	396.75
4745	283.7625
4746	135.4125
4747	59.5125
4748	6.9
4749	0.0
4750	0.0
4751	0.0
4752	0.0
4753	0.0
4754	8.625
4755	71.5875
4756	202.6875
4757	227.7
4758	507.15
4759	708.1125
4760	848.7
4761	920.2875
4762	841.8
4763	696.0375
4764	817.65
4765	442.4625
4766	519.225
4767	525.2624999999999
4768	426.075
4769	193.2
4770	69.0
4771	29.325
4772	3.45
4773	0.0
4774	0.0
4775	0.0
4776	0.0
4777	0.0
4778	18.975
4779	59.5125
4780	138.8625
4781	331.2
4782	537.3375
4783	754.6875
4784	409.6875
4785	456.2625
4786	520.9499999999999
4787	782.2875
4788	509.7375
4789	407.1
4790	395.8875
4791	459.7125
4792	236.325
4793	157.8375
4794	50.8875
4795	25.875
4796	0.0
4797	0.0
4798	0.0
4799	0.0
4800	0.0
4801	0.0
4802	4.3125
4803	54.3375
4804	159.5625
4805	317.4
4806	482.1375
4807	684.825
4808	838.35
4809	942.7125
4810	986.7
4811	972.9
4812	882.3375
4813	810.75
4814	517.5
4815	459.7125
4816	343.275
4817	183.7125
4818	98.325
4819	31.05
4820	0.8625
